ENTE;ESTADO_AFILIADO;ESTADO
3487138.0;ACTIVO;AAP       
6582475.0;ACTIVO;AAP       
2542381.0;ACTIVO;
11150429.0;ACTIVO;AAP       
1513272.0;ACTIVO;ANP       
11099073.0;ACTIVO;AAP       
489488.0;ACTIVO;AAP       
11685963.0;ACTIVO;AAP       
11218116.0;ACTIVO;AAP       
12340516.0;ACTIVO;AAP       
1363829.0;ACTIVO;
5574085.0;ACTIVO;
2580520.0;ACTIVO;AAP       
8970492.0;ACTIVO;AAP       
4278617.0;ACTIVO;AAP       
7517826.0;ACTIVO;AAP       
133088.0;ACTIVO;ANP       
593544.0;ACTIVO;AAP       
7283952.0;ACTIVO;
2972783.0;ACTIVO;AAP       
957445.0;ACTIVO;AAP       
3362186.0;ACTIVO;AAP       
48330.0;ACTIVO;ANP       
2361304.0;ACTIVO;ANP       
9978918.0;ACTIVO;AAP       
11457329.0;ACTIVO;AAP       
6340594.0;ACTIVO;
5755854.0;ACTIVO;AAP       
10338183.0;ACTIVO;AAP       
3714121.0;ACTIVO;AAP       
6151783.0;ACTIVO;AAP       
6405052.0;ACTIVO;AAP       
5781098.0;ACTIVO;AAP       
5766083.0;ACTIVO;ANP       
4635961.0;ACTIVO;AAP       
533196.0;ACTIVO;AAP       
10974179.0;ACTIVO;AAP       
6240357.0;ACTIVO;AAP       
11804740.0;ACTIVO;
7535243.0;ACTIVO;ANP       
5838531.0;ACTIVO;AAP       
3056879.0;ACTIVO;AAP       
354871.0;ACTIVO;AAP       
89412.0;ACTIVO;AAP       
741390.0;ACTIVO;ANP       
6220570.0;ACTIVO;AAP       
649836.0;ACTIVO;AAP       
225987.0;ACTIVO;AAP       
2385721.0;ACTIVO;ANP       
11323224.0;ACTIVO;AAP       
4148821.0;ACTIVO;AAP       
11044869.0;ACTIVO;AAP       
2488929.0;ACTIVO;AAP       
5256217.0;ACTIVO;AAP       
124686.0;ACTIVO;AAP       
11483332.0;ACTIVO;
11512272.0;ACTIVO;AAP       
10820636.0;ACTIVO;AAP       
6132219.0;ACTIVO;AAP       
12118007.0;ACTIVO;AAP       
3570800.0;ACTIVO;AAP       
11471504.0;ACTIVO;ANP       
469756.0;ACTIVO;ANP       
302612.0;ACTIVO;AAP       
769.0;ACTIVO;ANP       
6873745.0;ACTIVO;AAP       
3970422.0;ACTIVO;
4347222.0;ACTIVO;AAP       
10184178.0;ACTIVO;
12327762.0;ACTIVO;AAP       
10534380.0;ACTIVO;AAP       
2474506.0;ACTIVO;ANP       
7021661.0;ACTIVO;AAP       
5468901.0;ACTIVO;
680007.0;ACTIVO;AAP       
4037058.0;ACTIVO;AAP       
3384748.0;ACTIVO;ANP       
1345588.0;ACTIVO;AAP       
768139.0;ACTIVO;AAP       
6308987.0;ACTIVO;
2959228.0;ACTIVO;ANP       
11862739.0;ACTIVO;AAP       
443354.0;ACTIVO;ANP       
2035731.0;ACTIVO;ANP       
12167783.0;ACTIVO;
11688064.0;ACTIVO;ANP       
7538431.0;ACTIVO;AAP       
11897782.0;ACTIVO;AAP       
3107242.0;ACTIVO;AAP       
11339680.0;ACTIVO;AAP       
6083478.0;ACTIVO;AAP       
6358219.0;ACTIVO;AAP       
6372702.0;ACTIVO;AAP       
12241818.0;ACTIVO;
12075765.0;ACTIVO;AAP       
804395.0;ACTIVO;RET       
1771398.0;ACTIVO;ANP       
5678025.0;ACTIVO;AAP       
7098724.0;ACTIVO;AAP       
2697509.0;ACTIVO;AAP       
1044799.0;ACTIVO;
6805746.0;ACTIVO;AAP       
2710052.0;ACTIVO;AAP       
3374995.0;ACTIVO;AAP       
4897157.0;ACTIVO;
524371.0;ACTIVO;AAP       
659906.0;ACTIVO;RET       
7266425.0;ACTIVO;AAP       
5815263.0;ACTIVO;ANP       
3273634.0;ACTIVO;
10343852.0;ACTIVO;AAP       
154847.0;ACTIVO;ANP       
6347964.0;ACTIVO;ANP       
11986509.0;ACTIVO;
7356408.0;ACTIVO;AAP       
12110326.0;ACTIVO;AAP       
784956.0;ACTIVO;AAP       
62895.0;ACTIVO;AAP       
262989.0;ACTIVO;AAP       
426291.0;ACTIVO;AAP       
1055485.0;ACTIVO;AAP       
2161370.0;ACTIVO;ANP       
11828702.0;ACTIVO;AAP       
5160681.0;ACTIVO;ANP       
10697352.0;ACTIVO;AAP       
6371280.0;ACTIVO;AAP       
246623.0;ACTIVO;ANP       
5946322.0;ACTIVO;AAP       
3899931.0;ACTIVO;
2248077.0;ACTIVO;ANP       
6986309.0;ACTIVO;AAP       
398533.0;ACTIVO;RET       
3225320.0;ACTIVO;AAP       
5679768.0;ACTIVO;ANP       
11521452.0;ACTIVO;AAP       
5387933.0;ACTIVO;AAP       
11884088.0;ACTIVO;
111693.0;ACTIVO;ANP       
7416450.0;ACTIVO;ANP       
11909617.0;ACTIVO;
11484272.0;ACTIVO;AAP       
5434910.0;ACTIVO;
8547239.0;ACTIVO;AAP       
8239290.0;ACTIVO;ANP       
341004.0;ACTIVO;AAP       
59218.0;ACTIVO;ANP       
156729.0;ACTIVO;ANP       
12244077.0;ACTIVO;AAP       
5751330.0;ACTIVO;AAP       
12300943.0;ACTIVO;AAP       
810768.0;ACTIVO;AAP       
1286903.0;ACTIVO;AAP       
10822745.0;ACTIVO;
340.0;ACTIVO;ANP       
12333830.0;ACTIVO;AAP       
3413102.0;ACTIVO;ANP       
2648770.0;ACTIVO;AAP       
1033198.0;ACTIVO;
16241.0;ACTIVO;ANP       
11678122.0;ACTIVO;AAP       
11895300.0;ACTIVO;
11295919.0;ACTIVO;AAP       
3147816.0;ACTIVO;AAP       
3140404.0;ACTIVO;AAP       
7436317.0;ACTIVO;ACA       
12244084.0;ACTIVO;AAP       
2176909.0;ACTIVO;AAP       
257226.0;ACTIVO;AAP       
4976977.0;ACTIVO;ANP       
533469.0;ACTIVO;ANP       
7397601.0;ACTIVO;AAP       
10474754.0;ACTIVO;AAP       
549571.0;ACTIVO;RET       
794611.0;ACTIVO;AAP       
6611894.0;ACTIVO;AAP       
10855742.0;ACTIVO;AAP       
10542418.0;ACTIVO;AAP       
6517501.0;ACTIVO;
62043.0;ACTIVO;RET       
10593443.0;ACTIVO;AAP       
2711584.0;ACTIVO;RET       
4077367.0;ACTIVO;AAP       
10528542.0;ACTIVO;AAP       
122878.0;ACTIVO;AAP       
5090690.0;ACTIVO;AAP       
2797350.0;ACTIVO;ACA       
10915555.0;ACTIVO;
570917.0;ACTIVO;AAP       
2665621.0;ACTIVO;AAP       
27038.0;ACTIVO;ANP       
12277547.0;ACTIVO;AAP       
7016016.0;ACTIVO;AAP       
10800338.0;ACTIVO;AAP       
2976454.0;ACTIVO;
2853636.0;ACTIVO;ANP       
3992024.0;ACTIVO;ACA       
259501.0;ACTIVO;AAP       
6014897.0;ACTIVO;
11785632.0;ACTIVO;AAP       
4600637.0;ACTIVO;AAP       
1680782.0;ACTIVO;ANP       
5001282.0;ACTIVO;AAP       
1445490.0;ACTIVO;
4374.0;ACTIVO;ANP       
3511615.0;ACTIVO;AAP       
12234129.0;ACTIVO;AAP       
7461085.0;ACTIVO;ANP       
5131233.0;ACTIVO;AAP       
9926599.0;ACTIVO;AAP       
11577410.0;ACTIVO;AAP       
1041946.0;ACTIVO;AAP       
426106.0;ACTIVO;RET       
584185.0;ACTIVO;AAP       
621461.0;ACTIVO;AAP       
5355316.0;ACTIVO;AAP       
4416741.0;ACTIVO;AAP       
10429865.0;ACTIVO;AAP       
142936.0;ACTIVO;ANP       
5724770.0;ACTIVO;ANP       
4666969.0;ACTIVO;AAP       
2585876.0;ACTIVO;AAP       
11115140.0;ACTIVO;ANP       
10323640.0;ACTIVO;AAP       
5803093.0;ACTIVO;AAP       
619842.0;ACTIVO;AAP       
5851333.0;ACTIVO;AAP       
7191571.0;ACTIVO;
2225644.0;ACTIVO;ANP       
10943753.0;ACTIVO;AAP       
524520.0;ACTIVO;AAP       
5257991.0;ACTIVO;ANP       
174352.0;ACTIVO;ANP       
6102772.0;ACTIVO;AAP       
6371929.0;ACTIVO;ANP       
7147234.0;ACTIVO;AAP       
11877990.0;ACTIVO;AAP       
658471.0;ACTIVO;ANP       
705184.0;ACTIVO;AAP       
2608708.0;ACTIVO;ANP       
11692765.0;ACTIVO;AAP       
10492200.0;ACTIVO;AAP       
478201.0;ACTIVO;AAP       
11201098.0;ACTIVO;AAP       
12419073.0;ACTIVO;
11023903.0;ACTIVO;AAP       
1099173.0;ACTIVO;ANP       
1891204.0;ACTIVO;ANP       
6438455.0;ACTIVO;AAP       
4391859.0;ACTIVO;AAP       
7091289.0;ACTIVO;AAP       
3408593.0;ACTIVO;ANP       
2726764.0;ACTIVO;AAP       
10682292.0;ACTIVO;AAP       
2453163.0;ACTIVO;ANP       
10463177.0;ACTIVO;ANP       
11550471.0;ACTIVO;
4035380.0;ACTIVO;ANP       
972087.0;ACTIVO;AAP       
6104143.0;ACTIVO;RET       
167983.0;ACTIVO;AAP       
6396376.0;ACTIVO;
698383.0;ACTIVO;ANP       
3089830.0;ACTIVO;ACA       
575837.0;ACTIVO;AAP       
241810.0;ACTIVO;ANP       
3861223.0;ACTIVO;AAP       
12025511.0;ACTIVO;
1831928.0;ACTIVO;AAP       
591595.0;ACTIVO;ANP       
306623.0;ACTIVO;ANP       
1400948.0;ACTIVO;AAP       
10318524.0;ACTIVO;AAP       
2047859.0;ACTIVO;ANP       
12212617.0;ACTIVO;
11495149.0;ACTIVO;AAP       
5673603.0;ACTIVO;ANP       
8195960.0;ACTIVO;ANP       
7445692.0;ACTIVO;AAP       
5027103.0;ACTIVO;AAP       
2995588.0;ACTIVO;ANP       
11532311.0;ACTIVO;
4669991.0;ACTIVO;AAP       
3447285.0;ACTIVO;ANP       
10134327.0;ACTIVO;AAP       
640098.0;ACTIVO;RET       
12007258.0;ACTIVO;AAP       
619230.0;ACTIVO;AAP       
10951192.0;ACTIVO;AAP       
4164727.0;ACTIVO;AAP       
59088.0;ACTIVO;ANP       
11100018.0;ACTIVO;AAP       
2283114.0;ACTIVO;AAP       
4899604.0;ACTIVO;
1424843.0;ACTIVO;AAP       
11525799.0;ACTIVO;
11037126.0;ACTIVO;
347.0;ACTIVO;ANP       
1380243.0;ACTIVO;AAP       
6567683.0;ACTIVO;AAP       
3730082.0;ACTIVO;ANP       
11827285.0;ACTIVO;AAP       
6173.0;ACTIVO;ANP       
10961632.0;ACTIVO;AAP       
1473778.0;ACTIVO;ACA       
1493111.0;ACTIVO;AAP       
11728852.0;ACTIVO;AAP       
12255922.0;ACTIVO;AAP       
490046.0;ACTIVO;AAP       
4179177.0;ACTIVO;AAP       
7146240.0;ACTIVO;ANP       
10719938.0;ACTIVO;AAP       
1262773.0;ACTIVO;AAP       
547640.0;ACTIVO;ANP       
2398283.0;ACTIVO;AAP       
1835366.0;ACTIVO;ANP       
1239705.0;ACTIVO;RET       
6106754.0;ACTIVO;ANP       
10840338.0;ACTIVO;AAP       
475237.0;ACTIVO;AAP       
5603072.0;ACTIVO;AAP       
8551369.0;ACTIVO;AAP       
3174757.0;ACTIVO;AAP       
6999174.0;ACTIVO;ANP       
60674.0;ACTIVO;ANP       
2947546.0;ACTIVO;AAP       
3846925.0;ACTIVO;AAP       
1578340.0;ACTIVO;AAP       
3389423.0;ACTIVO;ANP       
5343135.0;ACTIVO;AAP       
540683.0;ACTIVO;AAP       
12291824.0;ACTIVO;AAP       
4133592.0;ACTIVO;ANP       
6914228.0;ACTIVO;AAP       
629841.0;ACTIVO;ANP       
6107894.0;ACTIVO;
11356384.0;ACTIVO;AAP       
959741.0;ACTIVO;AAP       
3103182.0;ACTIVO;AAP       
7407126.0;ACTIVO;AAP       
4044065.0;ACTIVO;ANP       
5001652.0;ACTIVO;AAP       
