pv_situacion_credito;CLASE;ENTE
3;1;151367.0
3;1;251763.0
3;1;351135.0
3;1;462413.0
3;1;1506273.0
3;1;1849310.0
3;1;92095.0
3;1;289474.0
3;1;2982367.0
3;1;6420706.0
3;1;35113.0
3;1;99326.0
3;1;166207.0
3;1;215026.0
3;1;1155626.0
3;1;116063.0
3;1;131152.0
3;1;1232118.0
3;1;206763.0
3;1;68695.0
3;1;2419684.0
3;1;1514727.0
3;1;273382.0
3;1;673482.0
3;1;405727.0
3;1;643383.0
3;1;218793.0
3;1;167839.0
3;1;5780520.0
3;1;2460002.0
3;1;284687.0
3;1;343234.0
3;1;251873.0
3;1;273225.0
3;1;961487.0
3;2;8576942.0
3;1;120596.0
3;1;364050.0
3;1;253657.0
3;1;149467.0
3;1;95376.0
3;1;264677.0
3;1;94190.0
3;1;1658669.0
3;1;598332.0
3;1;3444329.0
3;1;449832.0
3;1;169796.0
3;1;673710.0
3;1;223968.0
3;1;55988.0
3;1;363859.0
3;1;46049.0
3;1;69429.0
3;1;224599.0
3;1;213535.0
3;1;80879.0
3;1;69462.0
3;1;278866.0
3;1;255420.0
3;1;121830.0
3;1;272369.0
3;1;88108.0
3;1;231030.0
3;1;217349.0
3;1;3219466.0
3;1;174895.0
3;1;206665.0
3;1;549560.0
3;1;483247.0
3;1;509684.0
3;1;2763408.0
3;1;2135727.0
3;1;212512.0
3;1;202888.0
3;1;2437621.0
3;1;596118.0
3;1;235622.0
3;1;1735849.0
3;1;272680.0
3;1;191931.0
3;1;765635.0
3;1;12272.0
3;1;249751.0
3;1;256968.0
3;1;570900.0
3;1;890604.0
3;1;57526.0
3;1;522155.0
3;1;138211.0
3;1;84127.0
3;1;45057.0
3;1;442279.0
3;1;41784.0
3;1;225606.0
3;1;143780.0
3;2;432119.0
3;1;181669.0
3;1;288416.0
3;1;90750.0
3;1;30405.0
3;1;136274.0
3;2;3560693.0
3;1;78177.0
3;1;794415.0
3;1;55942.0
3;1;522679.0
3;1;125500.0
3;1;28588.0
3;1;30775.0
3;1;1861474.0
3;2;726249.0
3;1;4020848.0
3;1;704065.0
3;1;33170.0
3;1;53312.0
3;1;367952.0
3;1;357664.0
3;1;1611047.0
3;1;73243.0
3;1;250469.0
3;1;305979.0
3;1;582053.0
3;1;271687.0
3;1;253514.0
3;1;2638946.0
3;1;293585.0
3;1;87949.0
3;1;807408.0
3;1;276318.0
3;1;190818.0
3;1;256521.0
3;1;631133.0
3;1;576542.0
3;1;537479.0
3;1;624771.0
3;1;563129.0
3;1;173796.0
3;1;600359.0
3;1;215181.0
3;1;682788.0
3;1;163620.0
3;1;138646.0
3;1;214985.0
3;1;262549.0
3;1;645520.0
3;1;18832.0
3;1;128169.0
3;1;184750.0
3;1;95590.0
3;1;652014.0
3;1;40450.0
3;1;116005.0
3;1;29204.0
3;1;19254.0
3;1;445607.0
3;1;743158.0
3;1;5592940.0
3;1;290566.0
3;1;266067.0
3;1;242415.0
3;1;586055.0
3;1;213104.0
3;1;590053.0
3;1;335817.0
3;1;181336.0
3;1;578200.0
3;1;1135831.0
3;1;341828.0
3;1;243429.0
3;1;286914.0
3;1;277623.0
3;1;552547.0
3;1;608121.0
3;1;1358295.0
3;1;1192968.0
3;1;133069.0
3;1;54261.0
3;1;224767.0
3;1;645145.0
3;1;2209492.0
3;1;672429.0
3;1;302179.0
3;1;639679.0
3;1;261213.0
3;1;1906238.0
3;1;2516031.0
3;1;553581.0
3;1;186168.0
3;1;142177.0
3;1;112283.0
3;1;455749.0
3;1;97238.0
3;1;143989.0
3;1;83965.0
3;1;157300.0
3;1;98682.0
3;1;251557.0
3;1;374970.0
3;1;262297.0
3;1;191300.0
3;1;182005.0
3;1;8444506.0
3;1;58919.0
3;1;300806.0
3;1;260637.0
3;1;782072.0
3;1;42939.0
3;1;290192.0
3;1;297150.0
3;2;2983248.0
3;1;942748.0
3;1;377203.0
3;1;83417.0
3;1;223897.0
3;1;2504448.0
3;1;101656.0
3;1;177536.0
3;1;108509.0
3;1;779332.0
3;1;199045.0
3;1;2493931.0
3;1;287171.0
3;1;274248.0
3;1;631754.0
3;1;663517.0
3;1;246911.0
3;1;230843.0
3;1;191252.0
3;1;235458.0
3;1;809572.0
3;1;269755.0
3;1;772474.0
3;1;210371.0
3;1;96784.0
3;1;260230.0
3;1;223120.0
3;1;429906.0
3;1;433867.0
3;1;432883.0
3;1;278494.0
3;2;471943.0
3;1;237678.0
3;1;650875.0
3;1;474412.0
3;1;441378.0
3;1;2699696.0
3;1;646679.0
3;1;254525.0
3;1;85302.0
3;1;4334.0
3;1;120265.0
3;1;598194.0
3;1;52152.0
3;1;401834.0
3;1;2298101.0
3;1;283999.0
3;1;1586298.0
3;1;172822.0
3;1;160153.0
3;1;381468.0
3;1;557819.0
3;1;247060.0
3;1;259168.0
3;1;178399.0
3;1;702097.0
3;1;673734.0
3;1;194865.0
3;1;3005249.0
3;1;48924.0
3;1;352470.0
3;1;430966.0
3;1;261396.0
3;1;269009.0
3;1;256959.0
3;1;153858.0
3;1;2268051.0
3;1;225379.0
3;1;2143540.0
3;1;243119.0
3;1;241514.0
3;1;4248012.0
3;1;118237.0
3;1;109040.0
3;1;1768715.0
3;1;251645.0
3;1;5196240.0
3;1;2926456.0
3;1;3568845.0
3;1;1438869.0
3;1;628602.0
3;1;364529.0
3;1;193120.0
3;1;325323.0
3;1;254857.0
3;1;1168239.0
3;1;244934.0
3;1;108003.0
3;1;367204.0
3;1;806013.0
3;1;416618.0
3;1;142529.0
3;2;6815686.0
3;1;1537947.0
3;1;290582.0
3;1;72456.0
3;1;185532.0
3;1;350876.0
3;1;329374.0
3;1;186017.0
3;1;169038.0
3;1;984775.0
3;1;244364.0
3;1;136756.0
3;1;108641.0
3;1;93449.0
3;1;257360.0
3;1;143571.0
3;1;385411.0
3;1;13952.0
3;1;123099.0
3;1;58016.0
3;1;547990.0
3;1;171837.0
3;1;272568.0
3;1;5335685.0
3;1;143445.0
3;1;242577.0
3;1;206137.0
3;1;3959042.0
3;1;237632.0
3;1;1345626.0
3;1;399314.0
3;1;4045389.0
3;1;543816.0
3;1;822926.0
3;1;99373.0
3;1;142628.0
3;1;71516.0
3;1;2114451.0
3;1;77926.0
3;2;4867082.0
3;1;31695.0
3;1;185907.0
3;1;304219.0
3;2;502142.0
3;1;261109.0
3;1;424980.0
3;1;161623.0
3;1;200725.0
3;1;190081.0
3;1;869811.0
3;1;208476.0
3;1;97690.0
