pv_situacion_credito;CLASE;ENTE
2;1;1113781.0
2;1;594032.0
2;1;5353098.0
2;1;3353363.0
2;1;3295087.0
2;1;2560796.0
2;1;10457514.0
2;1;1308739.0
2;1;587867.0
2;1;6887719.0
2;1;4056426.0
2;1;833055.0
2;1;580733.0
2;1;6688412.0
2;1;2781865.0
2;1;695779.0
2;1;3138755.0
2;1;3180924.0
2;1;6516226.0
2;1;6133506.0
2;1;518548.0
2;1;1814470.0
2;1;3292230.0
2;1;631242.0
2;1;2669906.0
2;1;628462.0
2;1;5560316.0
2;1;2358038.0
2;1;5786617.0
2;1;6309488.0
2;1;6854310.0
2;1;870501.0
2;1;707822.0
2;1;431953.0
2;1;1652250.0
2;1;3200007.0
2;1;1966331.0
2;1;3104633.0
2;1;6590603.0
2;1;1826630.0
2;1;105729.0
2;1;1151783.0
2;1;10247158.0
2;1;657662.0
2;1;4196197.0
2;1;552107.0
2;1;10917179.0
2;1;1389772.0
2;1;698396.0
2;1;756590.0
2;1;475463.0
2;1;1405387.0
2;1;4500410.0
2;1;1590582.0
2;1;2926428.0
2;1;822605.0
2;1;7040910.0
2;1;1517123.0
2;1;432472.0
2;1;2645872.0
2;1;3367722.0
2;1;877741.0
2;1;440275.0
2;1;633629.0
2;1;2741135.0
2;1;1703645.0
2;1;5075819.0
2;1;662945.0
2;1;178371.0
2;1;5178782.0
2;1;5341473.0
2;1;1284343.0
2;1;948271.0
2;1;1454062.0
2;1;1507364.0
2;1;4509992.0
2;1;5770716.0
2;1;678894.0
2;1;547219.0
2;1;7229708.0
2;1;1037817.0
2;1;728083.0
2;2;7223933.0
2;1;5508999.0
2;1;1729135.0
2;1;5900985.0
2;1;824424.0
2;1;790003.0
2;1;6963009.0
2;1;85444.0
2;1;5813540.0
2;1;744493.0
2;1;604592.0
2;1;931522.0
2;1;4028175.0
2;1;3658776.0
2;1;556708.0
2;1;4186581.0
2;1;3153362.0
2;1;1382417.0
2;1;3002477.0
2;1;7038176.0
2;1;790322.0
2;1;3677237.0
2;1;1317697.0
2;1;2869718.0
2;1;560616.0
2;1;10909896.0
2;1;421493.0
2;1;2788394.0
2;1;725386.0
2;1;5838727.0
2;1;1555855.0
2;1;4001557.0
2;1;6881682.0
2;1;488159.0
2;1;5637891.0
2;1;5966176.0
2;1;7359687.0
2;1;580754.0
2;1;6044416.0
2;1;11230334.0
2;1;3257283.0
2;1;5007468.0
2;1;728494.0
2;1;3483596.0
2;1;2749962.0
2;1;615611.0
2;1;3354640.0
2;1;4758635.0
2;1;3236929.0
2;1;5039283.0
2;1;3560514.0
2;1;651390.0
2;1;5865650.0
2;1;11767076.0
2;1;951790.0
2;2;6044029.0
2;1;2687397.0
2;1;5980791.0
2;1;3148994.0
2;1;6718327.0
2;1;3202289.0
2;1;911820.0
2;1;666218.0
2;1;2479787.0
2;1;10450707.0
2;1;890229.0
2;1;1422001.0
2;1;733636.0
2;1;9001299.0
2;1;5075252.0
2;1;10052138.0
2;1;5992055.0
2;1;695019.0
2;1;1866119.0
2;1;6492823.0
2;1;2519924.0
2;1;2088490.0
2;1;481150.0
2;1;2068149.0
2;1;4748211.0
2;1;424034.0
2;1;9003123.0
2;1;2898428.0
2;1;3808946.0
2;1;1612270.0
